zip,type,city,state,county,country,irs_estimated_population
00501,UNIQUE,Holtsville,NY,Suffolk County,US,562
00544,UNIQUE,Holtsville,NY,Suffolk County,US,0
00601,STANDARD,Adjuntas,PR,Adjuntas Municipio,US,0
00602,STANDARD,Aguada,PR,Aguada Municipio,US,0
00603,STANDARD,Aguadilla,PR,Aguadilla Municipio,US,0
00604,PO BOX,Aguadilla,PR,,US,0
00605,PO BOX,Aguadilla,PR,,US,0
00606,STANDARD,Maricao,PR,Maricao Municipio,US,0
00610,STANDARD,Anasco,PR,Anasco Municipio,US,0
00611,PO BOX,Angeles,PR,Utuado Municipio,US,0
00612,STANDARD,Arecibo,PR,Arecibo Municipio,US,0
00613,PO BOX,Arecibo,PR,,US,0
00614,PO BOX,Arecibo,PR,,US,0
00616,STANDARD,Bajadero,PR,Arecibo Municipio,US,0
00617,STANDARD,Barceloneta,PR,Barceloneta Municipio,US,0
00622,STANDARD,Boqueron,PR,Cabo Rojo Municipio,US,0
00623,STANDARD,Cabo Rojo,PR,Cabo Rojo Municipio,US,0
00624,STANDARD,Penuelas,PR,Penuelas Municipio,US,0
00627,STANDARD,Camuy,PR,Camuy Municipio,US,0
00631,PO BOX,Castaner,PR,Lares Municipio,US,0
00636,PO BOX,Rosario,PR,San German Municipio,US,0
00637,STANDARD,Sabana Grande,PR,Sabana Grande Municipio,US,0
00638,STANDARD,Ciales,PR,Ciales Municipio,US,0
00641,STANDARD,Utuado,PR,Utuado Municipio,US,0
00646,STANDARD,Dorado,PR,Dorado Municipio,US,0
00647,STANDARD,Ensenada,PR,Guanica Municipio,US,0
00650,STANDARD,Florida,PR,Florida Municipio,US,0
00652,STANDARD,Garrochales,PR,Arecibo Municipio,US,0
00653,STANDARD,Guanica,PR,Guanica Municipio,US,0
00656,STANDARD,Guayanilla,PR,Guayanilla Municipio,US,0
00659,STANDARD,Hatillo,PR,Hatillo Municipio,US,0
00660,STANDARD,Hormigueros,PR,Hormigueros Municipio,US,0
00662,STANDARD,Isabela,PR,Isabela Municipio,US,0
00664,STANDARD,Jayuya,PR,Jayuya Municipio,US,0
00667,STANDARD,Lajas,PR,Lajas Municipio,US,0
00669,STANDARD,Lares,PR,Lares Municipio,US,0
00670,STANDARD,Las Marias,PR,Las Marias Municipio,US,0
00674,STANDARD,Manati,PR,Manati Municipio,US,0
00676,STANDARD,Moca,PR,Moca Municipio,US,0
00677,STANDARD,Rincon,PR,Rincon Municipio,US,0
00678,STANDARD,Quebradillas,PR,Quebradillas Municipio,US,0
00680,STANDARD,Mayaguez,PR,Mayaguez Municipio,US,0
00681,PO BOX,Mayaguez,PR,,US,0
00682,STANDARD,Mayaguez,PR,Mayaguez Municipio,US,0
00683,STANDARD,San German,PR,San German Municipio,US,0
00685,STANDARD,San Sebastian,PR,San Sebastian Municipio,US,0
00687,STANDARD,Morovis,PR,Morovis Municipio,US,0
00688,STANDARD,Sabana Hoyos,PR,Arecibo Municipio,US,0
00690,STANDARD,San Antonio,PR,Aguadilla Municipio,US,0
00692,STANDARD,Vega Alta,PR,Vega Alta Municipio,US,0
00693,STANDARD,Vega Baja,PR,Vega Baja Municipio,US,0
00694,PO BOX,Vega Baja,PR,Vega Baja Municipio,US,0
00698,STANDARD,Yauco,PR,Yauco Municipio,US,0
00703,STANDARD,Aguas Buenas,PR,Aguas Buenas Municipio,US,0
00704,STANDARD,Aguirre,PR,Salinas Municipio,US,0
00705,STANDARD,Aibonito,PR,Aibonito Municipio,US,0
00707,STANDARD,Maunabo,PR,Maunabo Municipio,US,0
00714,STANDARD,Arroyo,PR,Arroyo Municipio,US,0
00715,STANDARD,Mercedita,PR,Ponce Municipio,US,0
00716,STANDARD,Ponce,PR,Ponce Municipio,US,0
00717,STANDARD,Ponce,PR,Ponce Municipio,US,0
00718,STANDARD,Naguabo,PR,Naguabo Municipio,US,0
00719,STANDARD,Naranjito,PR,Naranjito Municipio,US,0
00720,STANDARD,Orocovis,PR,Orocovis Municipio,US,0
00721,PO BOX,Palmer,PR,,US,0
00723,STANDARD,Patillas,PR,Patillas Municipio,US,0
00725,STANDARD,Caguas,PR,Caguas Municipio,US,0
00726,PO BOX,Caguas,PR,,US,0
00727,STANDARD,Caguas,PR,Caguas Municipio,US,0
00728,STANDARD,Ponce,PR,Ponce Municipio,US,0
00729,STANDARD,Canovanas,PR,Canovanas Municipio,US,0
00730,STANDARD,Ponce,PR,Ponce Municipio,US,0
00731,STANDARD,Ponce,PR,Ponce Municipio,US,0
00732,PO BOX,Ponce,PR,,US,0
00733,PO BOX,Ponce,PR,,US,0
00734,PO BOX,Ponce,PR,,US,0
00735,STANDARD,Ceiba,PR,Ceiba Municipio,US,0
00736,STANDARD,Cayey,PR,Cayey Municipio,US,0
00737,PO BOX,Cayey,PR,,US,0
00738,STANDARD,Fajardo,PR,Fajardo Municipio,US,0
00739,STANDARD,Cidra,PR,Cidra Municipio,US,0
00740,STANDARD,Puerto Real,PR,Fajardo Municipio,US,0
00741,STANDARD,Punta Santiago,PR,Humacao Municipio,US,0
00742,STANDARD,Roosevelt Roads,PR,,US,0
00744,PO BOX,Rio Blanco,PR,,US,0
00745,STANDARD,Rio Grande,PR,Rio Grande Municipio,US,0
00751,STANDARD,Salinas,PR,Salinas Municipio,US,0
00754,STANDARD,San Lorenzo,PR,San Lorenzo Municipio,US,0
00757,STANDARD,Santa Isabel,PR,Santa Isabel Municipio,US,0
00765,STANDARD,Vieques,PR,Vieques Municipio,US,0
00766,STANDARD,Villalba,PR,Villalba Municipio,US,0
00767,STANDARD,Yabucoa,PR,Yabucoa Municipio,US,0
00769,STANDARD,Coamo,PR,Coamo Municipio,US,0
00771,STANDARD,Las Piedras,PR,Las Piedras Municipio,US,0
00772,STANDARD,Loiza,PR,Loiza Municipio,US,0
00773,STANDARD,Luquillo,PR,Luquillo Municipio,US,0
00775,PO BOX,Culebra,PR,Culebra Municipio,US,0
00777,STANDARD,Juncos,PR,Juncos Municipio,US,0
00778,STANDARD,Gurabo,PR,Gurabo Municipio,US,0
00780,STANDARD,Coto Laurel,PR,Ponce Municipio,US,0
00782,STANDARD,Comerio,PR,Comerio Municipio,US,0
00783,STANDARD,Corozal,PR,Corozal Municipio,US,0
