zip,type,primary_city,state,county,country,irs_estimated_population
24701,STANDARD,Bluefield,WV,Mercer County,US,15130
24712,STANDARD,Athens,WV,Mercer County,US,1500
24714,STANDARD,Beeson,WV,Mercer County,US,121
24715,STANDARD,Bramwell,WV,Mercer County,US,340
24716,PO BOX,Bud,WV,Wyoming County,US,553
24719,PO BOX,Covel,WV,Wyoming County,US,104
24724,STANDARD,Freeman,WV,Mercer County,US,109
24726,STANDARD,Herndon,WV,Wyoming County,US,350
24729,PO BOX,Hiawatha,WV,Mercer County,US,38
24731,STANDARD,Kegley,WV,Mercer County,US,320
24732,PO BOX,Kellysville,WV,Mercer County,US,107
24733,STANDARD,Lashmeet,WV,Mercer County,US,690
24736,STANDARD,Matoaka,WV,Mercer County,US,470
24737,PO BOX,Montcalm,WV,Mercer County,US,728
24738,PO BOX,Nemours,WV,Mercer County,US,176
24739,STANDARD,Princeton,WV,Mercer County,US,53
24740,STANDARD,Princeton,WV,Mercer County,US,12890
24747,STANDARD,Rock,WV,Mercer County,US,1880
24751,PO BOX,Wolfe,WV,Mercer County,US,32
24801,STANDARD,Welch,WV,McDowell County,US,2310
24808,STANDARD,Anawalt,WV,McDowell County,US,300
24811,PO BOX,Avondale,WV,McDowell County,US,359
24813,PO BOX,Bartley,WV,McDowell County,US,204
24815,STANDARD,Berwind,WV,McDowell County,US,230
24816,PO BOX,Big Sandy,WV,McDowell County,US,90
24817,PO BOX,Bradshaw,WV,McDowell County,US,523
24818,STANDARD,Brenton,WV,Wyoming County,US,750
24822,STANDARD,Clear Fork,WV,Wyoming County,US,530
24823,STANDARD,Coal Mountain,WV,Wyoming County,US,230
24826,PO BOX,Cucumber,WV,McDowell County,US,73
24827,STANDARD,Cyclone,WV,Wyoming County,US,790
24828,STANDARD,Davy,WV,McDowell County,US,430
24829,STANDARD,Eckman,WV,McDowell County,US,118
24830,STANDARD,Elbert,WV,McDowell County,US,111
24831,STANDARD,Elkhorn,WV,McDowell County,US,110
24834,PO BOX,Fanrock,WV,Wyoming County,US,148
24836,PO BOX,Gary,WV,McDowell County,US,536
24839,STANDARD,Hanover,WV,Wyoming County,US,720
24842,PO BOX,Hemphill,WV,McDowell County,US,0
24843,PO BOX,Hensley,WV,McDowell County,US,85
24844,STANDARD,Iaeger,WV,McDowell County,US,1190
24845,PO BOX,Ikes Fork,WV,Wyoming County,US,233
24846,STANDARD,Isaban,WV,Mingo County,US,144
24847,PO BOX,Itmann,WV,Wyoming County,US,247
24848,PO BOX,Jenkinjones,WV,McDowell County,US,86
24849,STANDARD,Jesse,WV,Wyoming County,US,230
24850,STANDARD,Jolo,WV,McDowell County,US,560
24851,PO BOX,Justice,WV,Mingo County,US,302
24853,PO BOX,Kimball,WV,McDowell County,US,632
24854,PO BOX,Kopperston,WV,Wyoming County,US,280
24855,STANDARD,Kyle,WV,McDowell County,US,54
24857,PO BOX,Lynco,WV,Wyoming County,US,513
24859,PO BOX,Marianna,WV,Wyoming County,US,0
24860,STANDARD,Matheny,WV,Wyoming County,US,340
24861,PO BOX,Maybeury,WV,McDowell County,US,197
24862,STANDARD,Mohawk,WV,McDowell County,US,260
24866,PO BOX,Newhall,WV,McDowell County,US,170
24867,PO BOX,New Richmond,WV,Wyoming County,US,151
24868,STANDARD,Northfork,WV,McDowell County,US,670
24869,STANDARD,North Spring,WV,Wyoming County,US,179
24870,STANDARD,Oceana,WV,Wyoming County,US,2790
24871,PO BOX,Pageton,WV,McDowell County,US,165
24872,STANDARD,Panther,WV,McDowell County,US,510
24873,STANDARD,Paynesville,WV,McDowell County,US,360
24874,STANDARD,Pineville,WV,Wyoming County,US,2110
24878,PO BOX,Premier,WV,McDowell County,US,260
24879,STANDARD,Raysal,WV,McDowell County,US,250
24880,STANDARD,Rock View,WV,Wyoming County,US,200
24881,PO BOX,Roderfield,WV,McDowell County,US,432
24882,STANDARD,Simon,WV,Wyoming County,US,280
24884,STANDARD,Squire,WV,McDowell County,US,206
24887,PO BOX,Switchback,WV,McDowell County,US,44
24888,PO BOX,Thorpe,WV,McDowell County,US,161
24892,STANDARD,War,WV,McDowell County,US,690
24894,PO BOX,Warriormine,WV,McDowell County,US,208
24895,PO BOX,Wilcoe,WV,McDowell County,US,117
24898,STANDARD,Wyoming,WV,Wyoming County,US,157
24901,STANDARD,Lewisburg,WV,Greenbrier County,US,7510
24902,PO BOX,Fairlea,WV,Greenbrier County,US,105
24910,STANDARD,Alderson,WV,Greenbrier County,US,3080
24915,STANDARD,Arbovale,WV,Pocahontas County,US,390
24916,STANDARD,Asbury,WV,Greenbrier County,US,290
24918,STANDARD,Ballard,WV,Monroe County,US,1190
24920,STANDARD,Bartow,WV,Pocahontas County,US,270
24924,STANDARD,Buckeye,WV,Pocahontas County,US,370
24925,STANDARD,Caldwell,WV,Greenbrier County,US,920
24927,STANDARD,Cass,WV,Pocahontas County,US,260
24931,STANDARD,Crawley,WV,Greenbrier County,US,1390
24934,STANDARD,Dunmore,WV,Pocahontas County,US,400
24935,STANDARD,Forest Hill,WV,Summers County,US,450
24938,STANDARD,Frankford,WV,Greenbrier County,US,1270
24941,STANDARD,Gap Mills,WV,Monroe County,US,770
24943,STANDARD,Grassy Meadows,WV,Greenbrier County,US,118
24944,STANDARD,Green Bank,WV,Pocahontas County,US,490
24945,STANDARD,Greenville,WV,Monroe County,US,420
24946,STANDARD,Hillsboro,WV,Pocahontas County,US,990
24951,STANDARD,Lindside,WV,Monroe County,US,1330
24954,STANDARD,Marlinton,WV,Pocahontas County,US,2530
24957,STANDARD,Maxwelton,WV,Greenbrier County,US,470
24961,STANDARD,White Sulphur Springs,WV,Greenbrier County,US,0
24962,STANDARD,Pence Springs,WV,Summers County,US,136
24963,STANDARD,Peterstown,WV,Monroe County,US,3270
24966,STANDARD,Renick,WV,Greenbrier County,US,950
24970,STANDARD,Ronceverte,WV,Greenbrier County,US,3290
24974,STANDARD,Secondcreek,WV,Monroe County,US,179
24976,STANDARD,Sinks Grove,WV,Monroe County,US,870
24977,STANDARD,Smoot,WV,Greenbrier County,US,350
24981,STANDARD,Talcott,WV,Summers County,US,570
24983,STANDARD,Union,WV,Monroe County,US,1850
24984,STANDARD,Waiteville,WV,Monroe County,US,90
24985,STANDARD,Wayside,WV,Monroe County,US,225
24986,STANDARD,White Sulphur Springs,WV,Greenbrier County,US,4030
24991,STANDARD,Williamsburg,WV,Greenbrier County,US,360
24993,STANDARD,Wolfcreek,WV,Monroe County,US,55
25002,PO BOX,Alloy,WV,Fayette County,US,155
25003,STANDARD,Alum Creek,WV,Lincoln County,US,1980
25005,STANDARD,Amma,WV,Roane County,US,240
25007,STANDARD,Arnett,WV,Raleigh County,US,370
25008,STANDARD,Artie,WV,Raleigh County,US,152
25009,STANDARD,Ashford,WV,Boone County,US,740
25011,PO BOX,Bancroft,WV,Putnam County,US,519
25015,STANDARD,Belle,WV,Kanawha County,US,3380
25019,STANDARD,Bickmore,WV,Clay County,US,430
25021,STANDARD,Bim,WV,Boone County,US,201
25022,PO BOX,Blair,WV,Logan County,US,143
25024,STANDARD,Bloomingrose,WV,Boone County,US,330
25025,STANDARD,Blount,WV,Kanawha County,US,143
25026,PO BOX,Blue Creek,WV,Kanawha County,US,101
25028,STANDARD,Bob White,WV,Boone County,US,328
25030,STANDARD,Bomont,WV,Clay County,US,410
25031,PO BOX,Boomer,WV,Fayette County,US,514
25033,STANDARD,Buffalo,WV,Putnam County,US,1900
25035,STANDARD,Cabin Creek,WV,Kanawha County,US,720
25036,PO BOX,Cannelton,WV,Fayette County,US,495
25039,STANDARD,Cedar Grove,WV,Kanawha County,US,740
25040,PO BOX,Charlton Heights,WV,Fayette County,US,460
25043,STANDARD,Clay,WV,Clay County,US,1150
25044,STANDARD,Clear Creek,WV,Raleigh County,US,260
25045,STANDARD,Clendenin,WV,Kanawha County,US,3860
25047,STANDARD,Clothier,WV,Logan County,US,230
25048,STANDARD,Colcord,WV,Raleigh County,US,141
25049,STANDARD,Comfort,WV,Boone County,US,530
25051,STANDARD,Costa,WV,Boone County,US,174
25053,STANDARD,Danville,WV,Boone County,US,2970
25054,PO BOX,Dawes,WV,Kanawha County,US,579
25057,PO BOX,Deep Water,WV,Fayette County,US,218
25059,STANDARD,Dixie,WV,Fayette County,US,460
25060,STANDARD,Dorothy,WV,Raleigh County,US,250
25061,PO BOX,Drybranch,WV,Kanawha County,US,385
25062,STANDARD,Dry Creek,WV,Raleigh County,US,198
25063,STANDARD,Duck,WV,Braxton County,US,1120
25064,STANDARD,Dunbar,WV,Kanawha County,US,7250
25067,STANDARD,East Bank,WV,Kanawha County,US,840
25070,PO BOX,Eleanor,WV,Putnam County,US,1700
25071,STANDARD,Elkview,WV,Kanawha County,US,8740
25075,STANDARD,Eskdale,WV,Kanawha County,US,440
25076,PO BOX,Ethel,WV,Logan County,US,354
25079,STANDARD,Falling Rock,WV,Kanawha County,US,160
25081,STANDARD,Foster,WV,Boone County,US,920
25082,STANDARD,Fraziers Bottom,WV,Putnam County,US,1780
25083,STANDARD,Gallagher,WV,Kanawha County,US,400
25085,STANDARD,Gauley Bridge,WV,Fayette County,US,640
25086,PO BOX,Glasgow,WV,Kanawha County,US,714
25088,STANDARD,Glen,WV,Clay County,US,91
25090,PO BOX,Glen Ferris,WV,Fayette County,US,104
25093,STANDARD,Gordon,WV,Boone County,US,221
25102,PO BOX,Handley,WV,Kanawha County,US,246
25103,STANDARD,Hansford,WV,Kanawha County,US,230
25106,STANDARD,Henderson,WV,Mason County,US,470
25107,STANDARD,Hernshaw,WV,Kanawha County,US,440
25108,STANDARD,Hewett,WV,Boone County,US,540
25109,PO BOX,Hometown,WV,Putnam County,US,410
25110,PO BOX,Hugheston,WV,Kanawha County,US,368
25111,STANDARD,Indore,WV,Clay County,US,420
25112,PO BOX,Institute,WV,Kanawha County,US,400
25113,STANDARD,Ivydale,WV,Clay County,US,590
25114,STANDARD,Jeffrey,WV,Boone County,US,280
25115,STANDARD,Kanawha Falls,WV,Fayette County,US,22
25118,STANDARD,Kimberly,WV,Fayette County,US,390
25119,STANDARD,Kincaid,WV,Fayette County,US,420
25121,STANDARD,Lake,WV,Logan County,US,530
25123,STANDARD,Leon,WV,Mason County,US,2530
25124,STANDARD,Liberty,WV,Putnam County,US,1020
25125,STANDARD,Lizemores,WV,Clay County,US,560
25126,PO BOX,London,WV,Kanawha County,US,210
25130,STANDARD,Madison,WV,Boone County,US,2790
25132,STANDARD,Mammoth,WV,Kanawha County,US,230
25133,STANDARD,Maysel,WV,Clay County,US,520
25134,PO BOX,Miami,WV,Kanawha County,US,399
25136,STANDARD,Montgomery,WV,Fayette County,US,910
25139,STANDARD,Mount Carbon,WV,Fayette County,US,430
25140,STANDARD,Naoma,WV,Raleigh County,US,500
25141,STANDARD,Nebo,WV,Clay County,US,238
25142,STANDARD,Nellis,WV,Boone County,US,260
25143,STANDARD,Nitro,WV,Kanawha County,US,7040
25148,STANDARD,Orgas,WV,Boone County,US,220
25149,PO BOX,Ottawa,WV,Boone County,US,227
25152,PO BOX,Page,WV,Fayette County,US,222
25154,STANDARD,Peytona,WV,Boone County,US,650
25156,PO BOX,Pinch,WV,Kanawha County,US,867
25159,STANDARD,Poca,WV,Putnam County,US,4400
25160,STANDARD,Pond Gap,WV,Kanawha County,US,200
25161,STANDARD,Powellton,WV,Fayette County,US,390
25162,PO BOX,Pratt,WV,Kanawha County,US,529
25164,STANDARD,Procious,WV,Clay County,US,860
25165,STANDARD,Racine,WV,Boone County,US,460
25168,STANDARD,Red House,WV,Putnam County,US,2460
25169,STANDARD,Ridgeview,WV,Boone County,US,290
25173,STANDARD,Robson,WV,Fayette County,US,300
25174,STANDARD,Rock Creek,WV,Raleigh County,US,310
25177,STANDARD,Saint Albans,WV,Kanawha County,US,19040
25180,STANDARD,Saxon,WV,Raleigh County,US,50
25181,STANDARD,Seth,WV,Boone County,US,1020
25183,PO BOX,Sharples,WV,Logan County,US,142
25185,UNIQUE,Mount Olive,WV,Fayette County,US,69
25186,PO BOX,Smithers,WV,Fayette County,US,791
25187,STANDARD,Southside,WV,Mason County,US,510
25193,STANDARD,Sylvester,WV,Boone County,US,220
25201,PO BOX,Tad,WV,Kanawha County,US,344
25202,STANDARD,Tornado,WV,Kanawha County,US,1230
25203,STANDARD,Turtle Creek,WV,Boone County,US,240
25204,STANDARD,Twilight,WV,Boone County,US,123
25205,PO BOX,Uneeda,WV,Boone County,US,423
25206,STANDARD,Van,WV,Boone County,US,330
25208,STANDARD,Wharton,WV,Boone County,US,590
25209,STANDARD,Whitesville,WV,Boone County,US,710
